customer_id,customer_name,email,country,signup_date,customer_type,age,updated_at
1,Rachel Mcgee,davidsontaylor@example.org,,2025-12-03,Premium,,2026-07-19 13:22:07.325394
2,Elizabeth Roth,stephanietaylor@example.com,USA,2025-04-18,Standard,65.0,2026-07-19 13:22:07.325394
3,Cynthia Davies,melaniemorales@example.net,,2022-05-25,Premium,,2026-07-19 13:22:07.325394
4,John Simmons,cindybarker@example.org,Canada,2026-05-19,Premium,31.0,2026-07-19 13:22:07.325394
5,Amber Kelly,goodwinharry@example.net,UK,2023-03-05,Premium,53.0,2026-07-19 13:22:07.325394
6,Paul Gonzales,wwheeler@example.org,,2022-11-27,,,2026-07-19 13:22:07.326395
7,Nicholas Daniels,edwardvalencia@example.org,UK,2024-12-27,Premium,66.0,2026-07-19 13:22:07.326395
8,Laura Johnston,turnermichelle@example.com,,2024-03-06,premium,35.0,2026-07-19 13:22:07.326395
9,Ernest Levy,rglover@example.net,USA,2021-03-07,premium,24.0,2026-07-19 13:22:07.326395
10,Jessica Berry,watsonandrea@example.com,Germany,2026-01-02,premium,,2026-07-19 13:22:07.326395
11,Alison Little,evansmatthew@example.org,Canada,2022-06-16,,52.0,2026-07-19 13:22:07.326395
12,Larry Lloyd,uhughes@example.com,Germany,2026-02-08,premium,,2026-07-19 13:22:07.326395
13,Anthony Obrien,amandayang@example.org,UK,2025-06-21,Premium,20.0,2026-07-19 13:22:07.327394
14,Jeremy Knox,stephen69@example.com,India,2026-02-06,Standard,,2026-07-19 13:22:07.327394
15,Denise Lindsey,brandoncombs@example.net,India,2024-01-03,premium,,2026-07-19 13:22:07.327394
16,Felicia Davidson,adrianachandler@example.org,India,2025-05-16,premium,62.0,2026-07-19 13:22:07.327394
17,Amber Hart,ashley78@example.org,UK,2022-12-27,Standard,52.0,2026-07-19 13:22:07.327394
18,Michael Herrera,kingmaria@example.com,USA,2023-12-16,,35.0,2026-07-19 13:22:07.327394
19,Heather Arroyo,bjennings@example.com,,2024-09-23,Premium,32.0,2026-07-19 13:22:07.327394
20,Ann Wheeler,hoffmanmary@example.net,India,2024-04-19,premium,22.0,2026-07-19 13:22:07.327394
21,Margaret Ross,cindy43@example.net,UK,2021-08-20,premium,,2026-07-19 13:22:07.327394
22,Larry Martinez,willistanya@example.com,Germany,2021-08-03,,,2026-07-19 13:22:07.328394
